1575,1564,13
284,38,16
295,212,16
942,617,16
125,794,16
63,1015,17
805,1369,17
935,1528,17
1575,1563,17
694,127,18
1477,570,18
301,878,18
937,1076,18
1668,1346,18
1575,1564,18
68,25,19
1361,759,19
1462,985,19
798,1173,19
806,1520,19
1590,1523,19
803,477,20
1366,1020,20
508,1034,20
1553,1201,20
1324,1617,20
901,42,21
470,333,21
319,412,21
319,413,21
653,658,21
1228,693,21
1666,736,21
1529,1012,21
594,1017,21
498,1221,21
172,1236,21
321,1439,21
315,83,22
262,153,22
1198,490,22
297,876,22
298,876,22
1503,907,22
616,942,22
320,1439,22
87,1485,22
1576,1564,22
248,1625,22
264,153,23
1043,592,23
689,678,23
1426,1053,23
51,1084,23
52,1084,23
1197,1398,23
596,1512,23
607,1512,23
756,411,24
1199,491,24
1034,592,24
458,1068,24
1345,1097,24
1656,1118,24
1555,1201,24
805,1202,24
806,1202,24
1389,1337,24
1378,1391,24
445,1542,24
42,1573,24
334,1614,24
190,65,25
675,185,25
871,421,25
1352,714,25
1113,757,25
590,1033,25
604,1239,25
462,1270,25
638,1512,25
29,1584,25
283,1672,25
674,184,26
433,236,26
1596,711,26
1597,712,26
1633,900,26
1508,1244,26
156,1280,26
124,1311,26
1666,1400,26
1197,1642,26
575,1664,26
1528,283,27
1528,285,27
538,459,27
822,535,27
652,656,27
1033,733,27
1311,898,27
912,969,27
664,1227,27
242,1260,27
146,1277,27
1590,1290,27
965,1395,27
896,33,28
719,237,28
719,237,28
1267,428,28
497,449,28
1074,577,28
1117,756,28
592,785,28
1278,859,28
1433,1092,28
463,1270,28
810,1301,28
812,1301,28
125,1311,28
619,1329,28
1169,1459,28
221,494,29
195,593,29
629,596,29
1060,662,29
186,768,29
718,851,29
1304,1160,29
740,1270,29
127,1311,29
948,1388,29
1486,1459,29
824,1537,29
447,1545,29
1304,1658,29
294,91,30
1437,182,30
836,261,30
867,367,30
537,458,30
1033,731,30
1276,858,30
1631,900,30
1288,938,30
1303,1160,30
168,1234,30
69,1437,30
1201,1498,30
457,1547,30
455,1548,30
378,1613,30
1439,182,31
582,301,31
449,390,31
595,413,31
871,422,31
1621,475,31
1524,492,31
183,567,31
430,608,31
1268,615,31
799,780,31
497,850,31
1276,858,31
616,939,31
639,955,31
431,1144,31
1265,1235,31
1508,1241,31
271,1254,31
1413,1314,31
1389,1336,31
328,1398,31
1334,1438,31
1633,1574,31
332,1614,31
198,1619,31
1434,1627,31
893,64,32
894,64,32
481,68,32
252,146,32
1431,286,32
810,412,32
852,459,32
459,521,32
881,649,32
1563,792,32
1563,793,32
518,413,33
223,495,33
225,496,33
1054,526,33
978,637,33
1203,734,33
709,841,33
1290,866,33
481,892,33
1541,1124,33
801,1200,33
1153,1259,33
1154,1260,33
673,1301,33
951,1546,33
47,1549,33
811,340,34
536,457,34
706,464,34
708,465,34
1400,488,34
1244,620,34
1431,955,34
301,1039,34
1657,1117,34
1406,1144,34
519,1157,34
987,1193,34
287,1256,34
162,1262,34
619,1330,34
323,1380,34
601,1510,34
1298,1634,34
494,449,35
782,550,35
1163,860,35
1164,861,35
616,938,35
865,1073,35
141,1429,35
895,62,36
1339,128,36
1285,445,36
496,450,36
846,462,36
1382,715,36
1341,1097,36
1408,1142,36
90,1226,36
1198,1642,36
863,411,37
845,462,37
1118,756,37
1251,896,37
1388,967,37
1514,1107,37
467,1273,37
1335,1440,37
1398,192,38
694,211,38
1637,331,38
1282,445,38
540,458,38
1402,488,38
1199,495,38
1017,542,38
319,730,38
320,730,38
640,752,38
604,785,38
1275,853,38
1316,896,38
1387,965,38
1513,1043,38
637,1182,38
1274,1204,38
1392,1338,38
1422,180,39
256,412,39
931,470,39
640,752,39
488,856,39
1165,861,39
1247,895,39
1249,963,39
1299,982,39
1301,984,39
1610,1019,39
958,1265,39
1171,1368,39
391,1523,39
814,1538,39
1415,647,40
1413,649,40
1612,1019,40
1532,1071,40
1344,1101,40
290,1259,40
1197,1641,40
696,212,41
1375,217,41
814,336,41
761,360,41
1017,541,41
1105,649,41
1275,852,41
1294,938,41
571,1028,41
1252,1224,41
1253,1226,41
1479,1457,41
1332,251,42
227,500,42
444,607,42
446,608,42
1104,649,42
618,937,42
1298,980,42
686,1033,42
1623,1036,42
1274,1204,42
1095,1234,42
1094,1235,42
847,1300,42
1226,1457,42
1540,1563,42
877,430,43
1493,911,43
1495,912,43
1433,959,43
376,1177,43
1277,1205,43
1018,1219,43
50,1543,43
1039,1637,43
731,148,44
412,604,44
1107,759,44
1140,854,44
1245,896,44
1251,960,44
1408,1141,44
1352,401,45
865,414,45
846,464,45
1080,682,45
641,957,45
461,983,45
550,1173,45
284,1222,45
1288,446,46
1149,856,46
466,991,46
591,243,47
1159,550,47
586,667,47
677,797,47
1303,860,47
1304,862,47
1360,911,47
751,957,47
1297,976,47
1297,977,47
52,1543,47
1334,393,48
904,408,48
892,413,48
1337,394,49
1286,446,49
1501,632,49
1426,953,49
672,1356,49
383,71,50
262,242,50
431,616,50
985,658,50
1146,857,50
1492,911,50
463,984,50
967,1188,50
213,1514,50
1354,400,51
258,417,51
407,604,51
409,604,51
966,1187,51
680,1275,51
1107,652,52
1511,1112,52
662,1353,52
1031,1423,52
377,1464,52
379,1466,52
343,1559,52
386,73,53
593,243,53
908,411,53
868,1069,53
1516,216,54
852,465,54
1355,480,54
1356,481,54
1089,693,54
590,772,54
483,896,54
230,1246,54
489,1425,54
670,1489,54
680,213,55
1513,216,55
633,657,55
1298,868,55
481,896,55
1619,1032,55
